title,author,length
The Longest Race,"Kara Goucher,Mary Pilon", 8 hrs and 48 mins
"Two Parts Sugar, One Part Murder",Valerie Burns, 6 hrs and 30 mins
"Over My Brother's Dead Body, Chase Andrews",Piper Rayne, 5 hrs and 53 mins
Whiskey Lies,Brittanee Nicole, 11 hrs and 48 mins
The House at the End of the World,Dean Koontz, 10 hrs and 22 mins
Smoke and Murders,S.C. Wynne, 12 hrs and 6 mins
The Final Nephilim,Ryan Pitterson, 17 hrs and 27 mins
Energy Leadership,Bruce D Schneider, 8 hrs and 41 mins
Mark of the Fool,J.M. Clarke, 19 hrs
Heartless,Elsie Silver, 9 hrs and 51 mins
The Power to Change,Craig Groeschel, 5 hrs and 42 mins
The Snow Graves,Roger Stelljes, 12 hrs and 49 mins
Hang the Moon,Jeannette Walls, 12 hrs and 28 mins
When Breath Becomes Air,"Paul Kalanithi,Abraham Verghese - foreword", 5 hrs and 35 mins
Never Split the Difference,Chris Voss, 8 hrs and 7 mins
Extreme Ownership,"Jocko Willink,Leif Babin", 9 hrs and 33 mins
The Four Agreements,don Miguel Ruiz, 2 hrs and 31 mins
Wild,Cheryl Strayed, 13 hrs and 2 mins
The Untethered Soul,Michael A. Singer, 6 hrs and 11 mins
Secrets of the Millionaire Mind,T. Harv Eker, 5 hrs and 10 mins
Born a Crime,Trevor Noah, 8 hrs and 44 mins
Sapiens,Yuval Noah Harari, 15 hrs and 18 mins
Killers of the Flower Moon,David Grann, 9 hrs and 4 mins
Salt to the Sea,Ruta Sepetys, 8 hrs and 47 mins
Based on a True Story,Norm Macdonald, 7 hrs and 18 mins
As a Man Thinketh,James Allen, 55 mins
Fahrenheit 451,Ray Bradbury, 5 hrs and 1 min
A Gentleman in Moscow,Amor Towles, 17 hrs and 52 mins
Defiance,T. L. Payne, 5 hrs and 37 mins
Caliban and the Witch,Silvia Federici, 9 hrs and 17 mins
Essentialism,Greg McKeown, 6 hrs and 14 mins
Resting Witch Face,Juliette Cross, 11 hrs and 24 mins
"Frontiers Saga Part 3: Liberty and Truth, Peace and Prosperity",Ryk Brown, 8 hrs and 40 mins
Women and the Gender of God,Amy Peeler, 7 hrs and 54 mins
Prometheus Rising,Robert Anton Wilson, 7 hrs and 57 mins
The Natural History Novellas,Erin Mallon, 5 hrs and 19 mins
Eat to Beat Your Diet,William W Li MD, 14 hrs and 8 mins
How to Win Friends & Influence People,Dale Carnegie, 7 hrs and 15 mins
Dune,Frank Herbert, 21 hrs and 2 mins
Ready Player One,Ernest Cline, 15 hrs and 40 mins
We Are Legion (We Are Bob),Dennis E. Taylor, 9 hrs and 56 mins
Confrontations,Jacques Vallee, 8 hrs and 37 mins
Warboss,Mike Brooks, 8 hrs and 48 mins
Archer's Voice,Mia Sheridan, 11 hrs and 7 mins
Devil's Delight,M. C. Beaton, 7 hrs and 16 mins
Second Sight,Amanda Quick, 9 hrs and 50 mins
Asking Better Questions of the Bible,Marty Solomon, 4 hrs and 33 mins
It's Your Ship,D. Michael Abrashoff, 6 hrs and 24 mins
The Rise and Fall of the Third Reich,William L. Shirer, 57 hrs and 11 mins
Beast Three Six,Jason Kasper, 11 hrs and 23 mins
A Disruptive Faith,"A. W. Tozer,James L. Snyder - editor", 5 hrs and 21 mins
Biography of X,Catherine Lacey, 14 hrs and 6 mins
"Come, Lord Jesus",John Piper, 7 hrs and 50 mins
The Einstein Syndrome,Thomas Sowell, 6 hrs and 23 mins
Better with You,Brit Benson, 10 hrs and 1 min
Beware of Chicken 2: A Xianxia Cultivation Novel,Casualfarmer, 18 hrs and 7 mins
Scatter,Molly J. Bragg, 10 hrs and 17 mins
The Girl in the Woods,Kristen Ashley, 10 hrs and 50 mins
One Bossy Dare,Nicole Snow, 13 hrs and 54 mins
"Hartman's Nursing Assistant Care: The Basics, 6th Edition","Jetta Fuzy MS RN,Hartman Publishing Inc.", 17 hrs and 25 mins
The Dyslexic Advantage (Revised and Updated),"Brock L. Eide MD MA,Fernette F. Eide MD", 10 hrs and 28 mins
Lassiter,J.R. Ward, 15 hrs
The Grand Conspiracy,"J.N. Chaney,Terry Mixon", 8 hrs and 29 mins
How to Defy a Vampire,Alice Winters, 9 hrs and 52 mins
The Inheritance,Matthew López, 5 hrs and 8 mins
A Rake of His Own,AJ Lancaster, 13 hrs and 52 mins
Six of Crows,Leigh Bardugo, 15 hrs and 4 mins
The Creative Act,Rick Rubin, 5 hrs and 45 mins
Forever Paired,Kathleen Brooks, 7 hrs and 20 mins
Racing with Rich Energy,"Elizabeth Blackstock,Alanis King", 9 hrs and 48 mins
Holly,Stephen King, 16 hrs
Dangerous Jesus,"Kevin Burgess,Jackie Hill Perry", 7 hrs and 11 mins
Welcome to Knockwood,Lucy Lennox, 1 hr and 27 mins
The Intelligent Investor Rev Ed.,Benjamin Graham, 17 hrs and 48 mins
It Didn't Start with You,Mark Wolynn, 8 hrs and 16 mins
Skinwalkers at the Pentagon,"James T. Lacatski DEng,Colm A. Kelleher PhD,George Knapp,various", 6 hrs and 12 mins
The Things We Make,Bill Hammack, 7 hrs and 43 mins
Throttled,Lauren Asher, 10 hrs and 21 mins
The Return of the Gods,Jonathan Cahn, 8 hrs and 34 mins
The Awe of God,John Bevere, 7 hrs and 28 mins
Black Candle Women,Diane Marie Brown, 12 hrs and 13 mins
The Lost Hero,Rick Riordan, 16 hrs and 33 mins
Brain Energy,Christopher M. Palmer MD, 12 hrs and 18 mins
